categories (L),Venue
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Places to Propose"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Girls Night"" }]",14 Hills
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Instagrammable"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Rooftop"" }]",The Secret Garden - South Place
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" }]",The Porterhouse
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Day Drinking"" }]",The Queen's Head
"[  { ""S"" : ""Ping Verified"" },  { ""S"" : ""Music"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Arts"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Themed"" },  { ""S"" : ""First Date"" }]",Archer Street SW11
"[  { ""S"" : ""Workouts"" }]",Test Place Burnham2
"[  { ""S"" : ""Restaurants"" }]",Passo Shoreditch
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Chill"" }]",Lost Society Battersea
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""First Date"" }]",Terra Terra
"[  { ""S"" : ""Workouts"" }]",Test Place Burnham2
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Play Time"" },  { ""S"" : ""After Work Drinks"" }]",Draughts - Waterloo
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" }]",Upper 5th
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Themed"" }]",Cubana Restaurant Waterloo
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Ladies Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Vegan"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Girls Night"" },  { ""S"" : ""Fun Date"" }]",The Florist Liverpool
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Something Different"" }]",Vagabond Northcote
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Boys Night"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Outdoor Seating"" }]",Waterfront
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Hangover Cure"" }]",Hope & Anchor
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""LGBTQ+"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Suss Date"" }]",Aeronaut
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""Vegan"" }]",The Prince
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Cocktail"" }]",Sette
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Outdoor Seating"" }]",Plateau
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Boozy Brunch"" },  { ""S"" : ""Brunch"" }]",Double Standard
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Instagramable"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""After Work Drinks"" }]",50 Cheyne
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Chill"" }]",Lost Society Battersea
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Ping Verified"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Activities"" },  { ""S"" : ""Mini Golf"" },  { ""S"" : ""Play Time"" },  { ""S"" : ""Instagramable"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Themed"" },  { ""S"" : ""Fun Date"" }]",Birdies
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Afternoon Tea"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Food With A View"" }]",Treehouse Hotel - The Nest
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" }]",The Blue Door
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Afternoon Tea"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Food With A View"" }]",Treehouse Hotel - The Nest
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Outdoor Seating"" }]",Boro Bistro
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Girls Night"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Vegan"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Outdoor Seating"" }]",Barbie Green
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Food With A View"" }]",Bar Elba
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Sundowners"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Cost Effective"" },  { ""S"" : ""Day Drinking"" }]",The Culpeper
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Boys Night"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Outdoor Seating"" }]",Waterfront
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" }]",Upper 5th
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Themed"" }]",Hemingways Lounge Bar
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Themed"" },  { ""S"" : ""LGBTQ+"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Brunch"" }]",Kona Kai
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Hangover Cure"" }]",Ping Pong Soho
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Outside"" }]",The Lighterman
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Themed"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Boozy Brunch"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Catch Up With Friends"" }]",Simmons Bar | Fulham
"[  { ""S"" : ""Workouts"" }]",Test Place Burnham2
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Activities"" },  { ""S"" : ""Adrenaline"" },  { ""S"" : ""Play Time"" },  { ""S"" : ""Bachelor Party"" }]",The Climbing Hangar London
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" }]",The Rooftop at The Standard
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Instagrammable"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Rooftop"" }]",The Secret Garden - South Place
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Client Meeting"" }]",Savage Gardens
"[  { ""S"" : ""Arts"" },  { ""S"" : ""Activities"" },  { ""S"" : ""Experiences"" }]",Backyard Cinema - Wansworth
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Chill"" }]",Nº35 Mackenzie Walk
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" }]",The Hawk's Nest
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" }]",Seabird
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Wine"" },  { ""S"" : ""Outdoor Seating"" }]",Boro Bistro
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Girls Night"" }]",SUSHISAMBA Covent Garden
